--------- beginning of main
04-17 00:58:31.041  1624  1637 E memtrack: Couldn't load memtrack module
04-17 00:58:31.041  1624  1637 W android.os.Debug: failed to get memory consumption info: -1
04-17 00:58:33.444  1624  1637 E memtrack: Couldn't load memtrack module
04-17 00:58:33.445  1624  1637 W android.os.Debug: failed to get memory consumption info: -1
04-17 00:58:39.572  1389  3235 W audio_hw_generic: Not supplying enough data to HAL, expected position 6149857 , only wrote 6149520
04-17 00:58:39.938  1721  1949 D EGL_emulation: eglMakeCurrent: 0x95faf0a0: ver 3 0 (tinfo 0x95fe6a60)
04-17 00:58:40.072  1721  1949 I chatty  : uid=10028(u0_a28) RenderThread identical 8 lines
04-17 00:58:40.082  1721  1949 D EGL_emulation: eglMakeCurrent: 0x95faf0a0: ver 3 0 (tinfo 0x95fe6a60)
--------- beginning of system
04-17 00:58:40.860  1624  6706 I ActivityManager: START u0 {act=android.intent.action.MAIN cat=[android.intent.category.LAUNCHER] flg=0x10200000 cmp=edu.washington.minhsuan.activityspy/.MainActivity bnds=[24,245][230,523]} from uid 10020
04-17 00:58:40.888  1624  1634 I ActivityManager: Start proc 8526:edu.washington.minhsuan.activityspy/u0a86 for activity edu.washington.minhsuan.activityspy/.MainActivity
04-17 00:58:40.890  8526  8526 I zygote  : Not late-enabling -Xcheck:jni (already on)
04-17 00:58:40.893  1389  3235 W audio_hw_generic: Hardware backing HAL too slow, could only write 0 of 720 frames
04-17 00:58:40.906  1624  1637 E memtrack: Couldn't load memtrack module
04-17 00:58:40.906  1624  1637 W android.os.Debug: failed to get memory consumption info: -1
04-17 00:58:40.910  1395  1395 D gralloc_ranchu: gralloc_alloc: Creating ashmem region of size 8298496
04-17 00:58:40.918  8526  8526 W zygote  : Unexpected CPU variant for X86 using defaults: x86
04-17 00:58:41.058  6202  6326 I MicroDetector: Keeping mic open: false
04-17 00:58:41.059  6202  6591 I DeviceStateChecker: DeviceStateChecker cancelled
04-17 00:58:41.063  6202  6897 D EGL_emulation: eglMakeCurrent: 0x9a505f60: ver 3 0 (tinfo 0x811c0a10)
04-17 00:58:41.083  6202  6330 I AudioController: internalShutdown
04-17 00:58:41.084  6202  7926 I MicroRecognitionRunner: Stopping hotword detection.
04-17 00:58:41.112  2215  2294 D EGL_emulation: eglMakeCurrent: 0x9a505780: ver 3 0 (tinfo 0x9a5034e0)
04-17 00:58:41.118  6202  6330 I MicrophoneInputStream: mic_close  SR : 16000 CC : 16 SO : 1999
04-17 00:58:41.123  6202  6330 E AudioSource: Stop listening is called on already closed AudioSource
04-17 00:58:41.153  6202  6600 I MicroRecognitionRunner: Detection finished
04-17 00:58:41.193  1624  1637 E memtrack: Couldn't load memtrack module
04-17 00:58:41.193  1624  1637 W android.os.Debug: failed to get memory consumption info: -1
04-17 00:58:41.223  1721  1949 D EGL_emulation: eglMakeCurrent: 0x95faf0a0: ver 3 0 (tinfo 0x95fe6a60)
04-17 00:58:41.250  1721  1949 D EGL_emulation: eglMakeCurrent: 0x95faf0a0: ver 3 0 (tinfo 0x95fe6a60)
04-17 00:58:41.262  6202  6213 I zygote  : Background concurrent copying GC freed 17860(1006KB) AllocSpace objects, 1(64KB) LOS objects, 44% free, 7MB/13MB, paused 14.387ms total 171.573ms
04-17 00:58:41.282  1721  1949 D EGL_emulation: eglMakeCurrent: 0x95faf0a0: ver 3 0 (tinfo 0x95fe6a60)
04-17 00:58:41.299  1721  1949 I chatty  : uid=10028(u0_a28) RenderThread identical 1 line
04-17 00:58:41.303  1721  1949 D EGL_emulation: eglMakeCurrent: 0x95faf0a0: ver 3 0 (tinfo 0x95fe6a60)
04-17 00:58:41.316  2215  2224 I zygote  : Background concurrent copying GC freed 5301(434KB) AllocSpace objects, 11(2MB) LOS objects, 49% free, 5MB/10MB, paused 7.970ms total 233.411ms
04-17 00:58:41.318  8526  8526 I InstantRun: starting instant run server: is main process
04-17 00:58:41.322  1721  1949 D EGL_emulation: eglMakeCurrent: 0x95faf0a0: ver 3 0 (tinfo 0x95fe6a60)
04-17 00:58:41.390  1721  1949 I chatty  : uid=10028(u0_a28) RenderThread identical 3 lines
04-17 00:58:41.405  1721  1949 D EGL_emulation: eglMakeCurrent: 0x95faf0a0: ver 3 0 (tinfo 0x95fe6a60)
04-17 00:58:41.449  8526  8526 I ActivitySpy: No Bundle
04-17 00:58:41.476  8526  8526 I zygote  : Rejecting re-init on previously-failed class java.lang.Class<android.support.v4.view.ViewCompat$OnUnhandledKeyEventListenerWrapper>: java.lang.NoClassDefFoundError: Failed resolution of: Landroid/view/View$OnUnhandledKeyEventListener;
04-17 00:58:41.476  8526  8526 I zygote  :   at void android.support.v4.view.ViewCompat.setBackground(android.view.View, android.graphics.drawable.Drawable) (ViewCompat.java:2341)
04-17 00:58:41.476  8526  8526 I zygote  :   at void android.support.v7.widget.ActionBarContainer.<init>(android.content.Context, android.util.AttributeSet) (ActionBarContainer.java:62)
04-17 00:58:41.476  8526  8526 I zygote  :   at java.lang.Object java.lang.reflect.Constructor.newInstance0(java.lang.Object[]) (Constructor.java:-2)
04-17 00:58:41.476  8526  8526 I zygote  :   at java.lang.Object java.lang.reflect.Constructor.newInstance(java.lang.Object[]) (Constructor.java:334)
04-17 00:58:41.476  8526  8526 I zygote  :   at android.view.View android.view.LayoutInflater.createView(java.lang.String, java.lang.String, android.util.AttributeSet) (LayoutInflater.java:647)
04-17 00:58:41.476  8526  8526 I zygote  :   at android.view.View android.view.LayoutInflater.createViewFromTag(android.view.View, java.lang.String, android.content.Context, android.util.AttributeSet, boolean) (LayoutInflater.java:790)
04-17 00:58:41.476  8526  8526 I zygote  :   at android.view.View android.view.LayoutInflater.createViewFromTag(android.view.View, java.lang.String, android.content.Context, android.util.AttributeSet) (LayoutInflater.java:730)
04-17 00:58:41.476  8526  8526 I zygote  :   at void android.view.LayoutInflater.rInflate(org.xmlpull.v1.XmlPullParser, android.view.View, android.content.Context, android.util.AttributeSet, boolean) (LayoutInflater.java:863)
04-17 00:58:41.476  8526  8526 I zygote  :   at void android.view.LayoutInflater.rInflateChildren(org.xmlpull.v1.XmlPullParser, android.view.View, android.util.AttributeSet, boolean) (LayoutInflater.java:824)
04-17 00:58:41.476  8526  8526 I zygote  :   at android.view.View android.view.LayoutInflater.inflate(org.xmlpull.v1.XmlPullParser, android.view.ViewGroup, boolean) (LayoutInflater.java:515)
04-17 00:58:41.476  8526  8526 I zygote  :   at android.view.View android.view.LayoutInflater.inflate(int, android.view.ViewGroup, boolean) (LayoutInflater.java:423)
04-17 00:58:41.476  8526  8526 I zygote  :   at android.view.View android.view.LayoutInflater.inflate(int, android.view.ViewGroup) (LayoutInflater.java:374)
04-17 00:58:41.476  8526  8526 I zygote  :   at android.view.ViewGroup android.support.v7.app.AppCompatDelegateImpl.createSubDecor() (AppCompatDelegateImpl.java:607)
04-17 00:58:41.476  8526  8526 I zygote  :   at void android.support.v7.app.AppCompatDelegateImpl.ensureSubDecor() (AppCompatDelegateImpl.java:518)
04-17 00:58:41.477  8526  8526 I zygote  :   at void android.support.v7.app.AppCompatDelegateImpl.setContentView(int) (AppCompatDelegateImpl.java:466)
04-17 00:58:41.477  8526  8526 I zygote  :   at void android.support.v7.app.AppCompatActivity.setContentView(int) (AppCompatActivity.java:140)
04-17 00:58:41.477  8526  8526 I zygote  :   at void edu.washington.minhsuan.activityspy.MainActivity.onCreate(android.os.Bundle) (MainActivity.kt:19)
04-17 00:58:41.477  8526  8526 I zygote  :   at void android.app.Activity.performCreate(android.os.Bundle) (Activity.java:6975)
04-17 00:58:41.477  8526  8526 I zygote  :   at void android.app.Instrumentation.callActivityOnCreate(android.app.Activity, android.os.Bundle) (Instrumentation.java:1213)
04-17 00:58:41.477  8526  8526 I zygote  :   at android.app.Activity android.app.ActivityThread.performLaunchActivity(android.app.ActivityThread$ActivityClientRecord, android.content.Intent) (ActivityThread.java:2770)
04-17 00:58:41.477  8526  8526 I zygote  :   at void android.app.ActivityThread.handleLaunchActivity(android.app.ActivityThread$ActivityClientRecord, android.content.Intent, java.lang.String) (ActivityThread.java:2892)
04-17 00:58:41.477  8526  8526 I zygote  :   at void android.app.ActivityThread.-wrap11(android.app.ActivityThread, android.app.ActivityThread$ActivityClientRecord, android.content.Intent, java.lang.String) (ActivityThread.java:-1)
04-17 00:58:41.477  8526  8526 I zygote  :   at void android.app.ActivityThread$H.handleMessage(android.os.Message) (ActivityThread.java:1593)
04-17 00:58:41.477  8526  8526 I zygote  :   at void android.os.Handler.dispatchMessage(android.os.Message) (Handler.java:105)
04-17 00:58:41.477  8526  8526 I zygote  :   at void android.os.Looper.loop() (Looper.java:164)
04-17 00:58:41.477  8526  8526 I zygote  :   at void android.app.ActivityThread.main(java.lang.String[]) (ActivityThread.java:6541)
04-17 00:58:41.477  8526  8526 I zygote  :   at java.lang.Object java.lang.reflect.Method.invoke(java.lang.Object, java.lang.Object[]) (Method.java:-2)
04-17 00:58:41.477  8526  8526 I zygote  :   at void com.android.internal.os.Zygote$MethodAndArgsCaller.run() (Zygote.java:240)
